,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,706293,726615,965160,704320,435451,480158,1427979,1340967,653940,833856,372455,1205541,1290212,1064027,1253979,820444,607043,325951,890134,1299287,1271830,931896,704071,2197942,1246234,819683,759477,1028084,920196,1896725,2029727,1190727,769112,854197,677406,940471,659856
1,290128,419598,430414,775641,1266759,1646039,914378,766586,354060,375349,696954,782281,1727426,1144994,900429,773403,472528,321893,267384,399457,1429194,1364429,1276514,2056287,1445434,759887,942348,842659,574807,840895,2367565,1863562,1329072,1010347,484057,355737,235581
1,235909,593989,646563,607777,952505,903775,775991,608135,428383,817780,406130,900105,1137280,1086457,653670,629622,1274086,569630,809336,717079,628617,510764,1766596,2592774,673703,562716,791518,922742,588776,1141712,2394509,1718772,957312,944702,805017,530355,245355
1,311854,571476,803697,785943,487000,632200,1392212,1434079,415356,241030,181095,353553,915755,632891,705434,543126,761332,881945,764207,398596,538292,1012482,1330310,1833392,1500823,862573,746636,711400,595181,931484,2253324,1346642,728069,579590,341435,636427,381854
1,363071,502090,1023248,1430386,635421,383515,558797,582017,676731,886223,418925,932861,1140115,1120905,1163926,322283,495833,852357,949145,419955,295087,652939,1539627,1437523,1790585,1119554,1020991,1182801,723124,797476,1731765,1694900,1004653,626972,416459,520098,453623
1,661205,699772,558848,931148,1210377,1245835,1122258,542724,428196,549064,489273,829964,1940375,1121583,1012336,1180083,350312,483055,1530681,704976,608057,1105952,1136316,1938374,2026350,956828,998571,1289999,941710,1160025,1511594,2211714,1030676,823412,588464,724314,446824
1,324950,684534,731253,1112969,1195151,619536,643993,260018,325731,375518,219191,717305,1636371,1109840,677663,555816,829785,363962,639087,667172,821080,953988,876593,1735169,1849025,922352,853298,816100,583593,873141,1955162,1530126,1099244,687951,496304,436599,228474
1,537067,537506,539394,917234,1077761,804454,1677413,1384508,826751,452714,484790,1132105,1264892,1066349,1307958,1194533,410969,381727,977451,1395776,544837,908366,947102,1265573,1833548,2163069,1184526,972502,1281481,1903818,1443360,1474318,1235835,778188,586850,928241,552422
1,571512,451719,390964,761265,907778,948363,993864,907822,504521,1030009,371501,1022993,1297791,955759,863665,508067,774740,585488,1046460,744019,748570,881411,1044582,1651563,1532216,1044092,1080667,978762,1196488,1932284,1527069,1252800,1346791,1016522,669613,616486,336326
1,381871,641335,499211,713617,1154237,709915,1104705,1176397,516258,381942,386596,1430932,942087,712594,714347,1162455,1727311,658568,689536,601746,415566,823915,1154180,962489,1978289,1354999,903358,973546,765059,1615747,2135831,1972373,1608681,646547,653181,454572,173110
1,237737,391321,325068,1090882,910602,786233,784302,844063,721265,788727,370256,584779,987648,1338379,1258486,1137991,997434,520501,717521,539497,797777,969866,1636438,1714340,1034237,859695,682122,655249,564717,1943238,2905864,1008340,1143252,1451283,569073,623171,610064
1,360355,466316,778802,649021,1002714,1134955,845731,967167,353350,202541,303998,1004554,1489942,1602267,793990,261282,367782,794345,1271918,792920,888125,529215,548693,1421900,2785088,1174209,874762,566353,454142,936101,3183959,1450216,622352,1036839,643470,489147,229192
1,395566,324560,522606,725311,1085644,1459481,482374,163267,217101,467516,440772,853259,684817,826790,1596760,741898,619988,373023,810180,526142,377520,731348,1609508,2166028,1192933,839869,634906,671890,328784,1923365,1643743,1581924,893110,650712,645243,456837,496122
